taxi_driver,trips,duration_average
611,21,812.2380952380952
783,4,782.25
91,29,1107.9655172413793
74,1,149.0
912,29,900.6896551724138
823,12,997.5
20,8,1059.875
527,5,1011.2
334,26,1026.5384615384614
225,15,963.2
337,13,1017.0769230769231
101,24,921.375
826,3,880.0
48,19,1076.842105263158
890,36,843.4166666666666
788,17,966.9411764705883
212,38,945.7368421052631
524,53,877.433962264151
964,22,863.5
936,14,1041.2142857142858
84,8,838.25
680,26,1008.0
924,3,544.6666666666666
683,2,531.0
814,27,1115.888888888889
960,6,710.6666666666666
991,2,409.0
653,46,1065.891304347826
585,13,911.8461538461538
952,9,1072.4444444444443
990,4,855.25
380,77,950.8701298701299
686,12,908.75
483,1,381.0
559,40,896.45
974,1,726.0
893,6,677.8333333333334
575,23,781.4782608695652
1044,19,757.8947368421053
171,2,401.0
807,9,799.2222222222222
1081,1,708.0
865,1,1247.0
1014,24,926.375
1129,33,857.8181818181819
947,1,1083.0
1118,22,1059.1818181818182
450,2,815.5
1103,9,940.6666666666666
358,1,411.0
861,3,477.3333333333333
526,2,665.5
1145,11,1057.3636363636363
1187,3,1300.0
986,1,759.0
536,3,753.6666666666666
1192,1,631.0
1169,2,1046.5
41,1,813.0
499,11,1036.5454545454545
715,25,884.36
829,34,831.9705882352941
373,41,877.5853658536586
395,22,1093.0
554,27,919.3333333333334
446,62,1018.6129032258065
299,8,1036.0
608,46,886.1739130434783
362,53,803.3207547169811
669,20,1022.25
542,1,1667.0
668,15,933.5333333333333
547,47,952.5531914893617
5,11,912.4545454545455
857,173,877.2947976878613
129,6,1035.3333333333333
305,25,1077.56
907,1,1396.0
479,13,801.0769230769231
191,4,781.25
767,27,991.3703703703703
679,16,799.5
99,16,1012.9375
193,1,619.0
22,2,903.5
906,6,966.3333333333334
640,11,786.2727272727273
243,32,825.5
535,1,315.0
856,9,854.0
150,39,934.8717948717949
4,50,995.6
586,19,1126.3157894736842
127,13,879.6923076923077
958,3,1196.0
1023,19,817.421052631579
915,17,1069.1176470588234
111,3,1002.3333333333334
144,5,956.0
595,7,981.1428571428571
874,6,701.5
970,6,847.6666666666666
1060,6,991.8333333333334
876,9,591.1111111111111
1050,21,962.4285714285714
852,29,1041.8620689655172
619,8,836.25
410,10,1002.1
435,4,1087.25
927,17,799.1764705882352
32,4,946.0
375,6,885.8333333333334
1114,67,902.6716417910447
776,2,491.0
470,2,593.5
140,6,998.0
1061,8,986.25
1138,2,1302.5
326,7,837.7142857142857
1139,3,517.0
1123,16,1052.8125
1140,7,1091.2857142857142
513,2,878.5
701,4,553.25
982,3,804.3333333333334
716,5,689.2
1175,6,782.5
782,2,799.0
354,1,672.0
587,2,686.5
302,1,690.0
1198,1,1132.0
1199,1,357.0
588,67,771.5373134328358
381,66,845.3181818181819
293,14,914.9285714285714
424,42,788.8571428571429
223,14,932.9285714285714
42,41,894.5853658536586
779,38,960.3157894736842
87,46,1049.108695652174
163,27,839.5925925925926
474,70,963.2857142857143
806,16,1039.9375
774,24,933.7083333333334
327,86,914.0348837209302
660,37,1031.6216216216217
359,86,987.8604651162791
578,51,979.2941176470588
910,83,942.5421686746988
419,23,846.9130434782609
403,26,1004.1538461538462
550,11,940.6363636363636
702,4,898.75
261,7,879.0
201,3,1318.6666666666667
820,1,1424.0
959,7,716.4285714285714
943,19,984.3684210526316
447,52,828.6730769230769
934,9,953.8888888888889
879,11,718.4545454545455
946,1,908.0
863,1,1318.0
272,11,1000.2727272727273
993,1,1579.0
320,57,924.3157894736842
579,6,989.8333333333334
750,6,783.5
1021,1,468.0
940,2,1238.0
996,1,1726.0
1032,93,947.0967741935484
631,2,1193.5
1035,15,846.8666666666667
1045,18,1042.2777777777778
848,10,1226.4
149,7,673.2857142857143
1056,11,954.7272727272727
1066,2,1408.5
689,1,785.0
78,10,946.5
155,13,1030.6153846153845
365,3,946.3333333333334
3,9,1129.7777777777778
1031,15,651.5333333333333
1132,1,962.0
1052,4,584.75
560,12,1041.1666666666667
1168,1,830.0
1117,5,1010.6
1161,13,828.2307692307693
751,3,1090.0
452,2,682.5
930,27,915.074074074074
763,1,909.0
361,1,521.0
1098,1,343.0
1196,2,608.5
1005,1,1060.0
364,1,1235.0
1039,1,561.0
1208,1,631.0
1202,1,378.0
1215,1,1904.0
2,73,967.4246575342465
769,25,805.72
864,7,756.5714285714286
795,8,901.0
58,5,784.6
352,14,738.1428571428571
24,33,860.8484848484849
666,51,751.2352941176471
192,19,901.2631578947369
130,11,778.5454545454545
888,7,1041.7142857142858
31,9,686.2222222222222
229,15,1009.2
791,6,947.5
721,8,751.75
147,14,792.4285714285714
318,43,879.1162790697674
95,16,737.0625
860,1,234.0
117,2,749.5
917,2,1566.0
348,1,1981.0
735,23,672.2173913043479
391,7,1071.0
322,6,742.1666666666666
953,2,432.0
678,1,395.0
401,6,955.1666666666666
145,7,746.5714285714286
216,7,944.8571428571429
522,3,443.0
505,26,818.4230769230769
840,28,930.8928571428571
120,37,879.2972972972973
73,1,583.0
713,13,1036.6923076923076
875,10,864.6
998,7,1130.2857142857142
896,25,964.48
887,1,1654.0
494,18,1074.7222222222222
118,1,1230.0
323,31,1033.3548387096773
602,4,878.0
1027,36,876.3055555555555
353,4,516.25
532,1,547.0
139,21,757.2857142857143
659,17,957.6470588235294
226,35,882.9714285714285
1024,23,888.0869565217391
768,11,736.0
489,12,1005.75
1059,26,825.4230769230769
765,4,782.0
1072,31,891.3548387096774
1080,21,931.047619047619
621,17,754.4705882352941
1105,11,912.0909090909091
880,2,736.0
624,4,758.75
213,34,1039.6764705882354
1126,2,655.5
569,4,1079.25
1147,17,807.4705882352941
156,20,1022.5
1153,12,1194.1666666666667
1165,5,453.2
